titelde,SDGs,lernergebnissedeUNDlerninhaltede
Schalterverhalten im Netz,9,"Nach erfolgreichem Abschluss des Moduls sind die Studierenden in der Lage, Problemstellungen der Hochspannungstechnik auf dem aktuellen Stand der Forschung eigenstaendig und ganzheitlich zu loesen und die Ergebnisse zu praesentieren. Durch die Inhalte der Vorlesung werden einzelne Bereiche der Hochspannungstechnik und industriellen Anwendungen vertieft. Die Vorlesungen „Schalterverhalten im Netz beschaeftigt sich u.a. mit Aufgaben von Leistungsschalter, Netzbedingungen, Kurzschlussstrom, Einschwingvorgaengen, verschiedenen Kurzschlussformen, Einschalten auf Kurzschluss und Schalten unter Asynchronbedingungen."
Grundlagen der Photovoltaik,"7, 9, 13","Absolventen verstehen die Grundlagen der Erzeugung erneuerbare Energien mit Hilfe photovoltaischer Baulelemente am Beispiel von Silizium-Wafersolarzellen. Sie kennen die Herstellungsprozesse fuer Solarzellen und die erforderlichen Kenngroessen zur Quantifizierung der Performance. Die Vorlesung PV1 behandelt Solarstrahlung, Absorption und Rekombination, pn-uebergaenge, Solarzellenkennlinien, Zellparameter, Waferherstellung und Prozessierung zu Solarzellen, Modulverschaltung. Die Wahlveranstaltung ermoeglicht einen Einblick in die grundlegende Charakterisierung von Solarzellen."
Duennschichtsolarzellen und neue Konzepte,"7, 9, 13","In dem Modul vertiefen die Studierenden ihre Kenntnisse auf dem Gebiet der Erzeugung erneuerbarer Energie mit Hilfe photovoltaischer Systeme. Sie lernen alternative Solarzellenkonzepte, deren Herstellung und Wirkungsweise kennen. Daneben erlangen Sie die Kenntnisse zur Beurteilung von Wirkungsgraden von photovoltaischen Systemen und lernen Moeglichkeit zu deren Optimierung kennen. Nach Abschluss des Moduls haben die Studierenden die grundlegenden Kenntnisse um sich mit modernen photovoltaischen Systemen in Forschung und Praxis zu beschaeftigen. Die Vorlesung PV2 behandelt Grundlagen der photovoltaischen Energiewandlung, moderne Duennschichtsolarzellen sowie deren Herstellung und Anwendung. Die Wahlpflichtveranstaltungen bieten die Moeglichkeit zur Vertiefung der Kenntnisse, z.B. der grundlegenden physikalischen Prozesse, der Analyse photovoltaischer Materialien und Systeme oder der Herstellung von Solarzellen."
Technologie fuer Duennschicht-Bauelemente,"9, 12","Die Studierenden kennen die wesentlichen Technologien fuer die Herstellung von Duennschicht-Bauelementen und koennen diese bewerten. Sie kennen die Grundlagen der Beschichtungsprozesse, der Schichtysteme und deren Charakterisiserungsverfahren sowie der Anwendungen von Duennschichtbauelementen. Inhalt des Moduls sind technologische und anwendungsbezogene Aspekte fuer die Duennschicht-Bauelemente. Behandelt werden: Atmosphaerendruck und Vakuumbeschichtungsverfahren, Plasmatechnologie, Eigenschaften duenner Schichten (elektrische, optische und mechanische Eigenschaften) und deren Zusammenhang mit dem Schichtaufbau, Charakterisierungsverfahren und Anwendungen von Duennschicht-Bauelementen. "
Oberflaechentechnologie fuer Energieeffizienz und Erneuerbare Energien,"7, 9, 12, 13",Die Studierenden kennen die wesentlichen Technologien fuer energieeffiziente Oberflaechen und fuer deren Einsatz im Bereich Erneuerbarer Energien. Inhalt des Moduls sind technologische und anwendungsbezogene Aspekte fuer die Bewertung und fuer den Einsatz von Oberflaechen- und Beschichtungstechnologie im Hinblick auf die Steigerung der Energieeffizienz und auf den Einsatz im Bereich Erneuerbarer Energien.
Mehrgroessenregelsysteme,9,Die Studierenden erwerben Kenntnisse in grundlegenden Methoden der Regelung von Mehrgroessensystemen. Dies beinhaltet die Modellierung und Analyse von Regelstrecken sowie die Synthese von Regelkreisen. Neben der Vermittlung von methodischen Kenntnissen ist das Sammeln von praktischen Erfahrungen beim Loesen von Anwendungsbeispielen und im Umgang mit Softwaretools integraler Bestandteil des Moduls. Theoretische Grundkenntnisse sowie deren praktische Anwendung auf Regelungs- und Automatisierungsprobleme stehen im Mittelpunkt. Es werden Analyse- und Entwurfsverfahren fuer Mehrgroessensysteme behandelt.
Nichtlineare Regelsysteme,"4, 9","Die Studierenden verfuegen ueber Kenntnisse in grundlegenden Methoden der Regelung nichtlinearer Systeme. Dies beinhaltet die Modellierung und Analyse von Regelstrecken sowie die Synthese von Regelkreisen. Neben der Vermittlung von methodischen Kenntnissen ist das Sammeln von praktischen Erfahrungen beim Loesen von Anwendungsbeispielen und im Umgang mit Softwaretools, wie MatlabSimulink, integraler Bestandteil des Moduls. Diese Faehigkeiten werden durch in die Lehrveranstaltungen integrierte Computeruebungen erworben. Eine in Betracht gezogene Anwendung ist die Magnetschwebetechnik. Fuer diese Anwendung werden verschiedene Designansaetze verglichen. Inhalt: Theoretische Grundkenntnisse sowie deren praktische Anwendung auf Regelungs- und Automatisierungsprobleme stehen im Mittelpunkt. Es werden verschiedene Analyse- und Entwurfsverfahren fuer nichtlineare Systeme behandelt. - Lineare und nichtlineare Phasenebenenanalyse - Beschreibung und Eigenschaften nichtlinearer Systeme - Stabilitaet und Lyapunov-Methoden (direkt und indirekt) - Gain Scheduling - Linearisierungsbasierter Reglerentwurf - Exakte Linearisierung, Flachheit und Systeminversion - Sliding-Mode-Regelung - Backstepping-Regelung - Nichtlineare Beobachter - Computeruebungen mit MatlabSimulink"
Steuerung und Regelung leistungselektronischer Systeme,"7, 9, 11","Die Studenten erlernen moderne Methoden zur Steuerung und Regelung von leistungselektronischen Systemen. Sie sind nach erfolgreichem Abschluss des Moduls in der Lage, geeignete Steuerungs- und Regelungsverfahren von selbstgefuehrten Umrichter anzuwenden, diese zu dimensionieren und implementieren sowie deren Funktionsweise zu verifizieren. Insbesondere koennen Absolvent*innen des Kurses verschiedene Konzepte zum Betrieb von Wechselrichtern fuer PV- und Windkraftanlagen am Energieversorgungsnetz erklaeren und kennen Methoden zur Auslegung kritischer Parameter. Die Veranstaltung umfasst die Vermittlung von Grundlagen sowie die vertiefende Betrachtung moderner Steuer- und Regelungsverfahren unter Einbeziehung unterschiedlicher Modulationsmethoden von selbstgefuehrten Stromrichtern, die z.B. fuer die Steuerung von Antriebssystemen und die Einspeisung von erneuerbaren Energien in das Verbundnetz essentiell sind.  Inhalte: Steuerverfahren: PWM fuer selbstgefuehrte Schaltungen, Harmonische, spezielle Verfahren fuer dreiphasige Wechselrichter  Raumzeigermodulation, optimierte Pulsmuster, Hystereseregler Modellbildung und Regelung: Mittelwertmodelle, numerische Grundlagen der Simulation, kaskadierte Reglerstrukturen fuer Gleichspannungswandler und Wechselrichter, Dimensionierung und zeitdiskrete Umsetzung, Anwendungsbeispiel Wechselricher am Netz, moderne Regelungsverfahren wie Direct Power Control, Modellpraediktive Regelung Die in der Vorlesung behandelten Algorithmen werden in Simulationsuebungen erprobt und in weiterfuehrenden praktischen Versuchen demonstriert."
Projekt Simulation und Technische Diagnose,"4, 9","Die Studierenden besitzen nach Abschluss des Moduls auf einem ausgewaehlten Gebiet der Technische Diagnose oder der ModellbildungSimulation vertiefte Kenntnisse. Ferner koennen die Studierenden den Aufwand (Zeit + Kapazitaet), der zur Bearbeitung abgegrenzter Aufgaben erforderlich ist, abschaetzen. Es werden Projekte aus aktuellen Themen der Simulation mechatronischer Systeme insbesondere aus dem Bereich der Kraftfahrzeugtechnik und der technischen Diagnose bearbeitet. In Form eines Lastenhefts werden die Basisanforderungen, die das zu realisierende „Produkt“ erfuellen muss, aufgefuehrt. Anschliessend muss ein Pflichtenheft erstellt und eine Projektplanung vorgenommen werden. Hierbei ist sowohl eine Zeit- als auch Kapazitaetsplanung mit der entsprechenden Verteilung der Aufgaben durchzufuehren. Aus der Planung muss die zeitliche Belastung (Workload) der einzelnen Bearbeiter hervorgehen. Nach der Freigabe des Pflichtenhefts durch den Betreuer erfolgt die selbstaendige Problemloesung und Umsetzung der Aufgabe. Das Projektergebnis wird abschliessend dokumentiert und in einem Vortrag praesentiert."
Berufspraktikum I,8,"Die Studierenden gewinnen durch dieses Pflichtpraktikum Einblicke in moegliche Berufs- und Taetigkeitsfelder und koennen ihre Studienausrichtung aufgrund einer praktischen Taetigkeit, konkret mit den eigenen Faehigkeiten und Interessen abgleichen. Die praktische Taetigkeit soll in einem Unternehmen ausserhalb des Universitaeren Betriebes ausgeuebt werden. Es kommen u.a. Praktika in folgenden Bereichen in Frage: Softwareentwicklung, Medienerstellung und -produktion, Rundfunk und Fernsehen, Webdesign und -entwicklung, Kommunikationstechnik, Hardware-Entwicklung, WerbungPR und Kommunikationsforschung. Organisationsfaehigkeit, erlernen ergebnisorientiert und im Team zu arbeiten, Bearbeitung zielgerichteter und konkreter Problemstellungen, Kommunikations- und Kooperationsfaehigkeit im professionellen Umfeld."
Ausgewaehlte Themen zu Elektronik und Signalverarbeitung,"4, 9","Die Studierenden haben bereits in den anderen Modulen des Fachgebiets Elektronik und medizinische Signalverarbeitung erworbenes Wissen vertieft und abgerundet. Sie sind in der Lage sich selbststaendig in komplexe neue Sachverhalte aus den Bereichen Signalverarbeitung einzuarbeiten undoder anspruchvolle elektronische Schaltungen zu entwickeln bzw. analysieren. Die Themen werden nach den individuellen Beduerfnissen der Studierenden ausgewaehlt. Sie sind in der Lage, einen eigenen fachlichen Beitrag zu leisten, im Team zu arbeiten und Arbeitsergebnisse adaequat zu dokumentieren bzw. zu praesentieren.  Im Seminar „Ausgewaehlte Themen zu Elektronik und Signalverarbeitung“ besteht die Moeglichkeit Themen eigener Wahl aufzuarbeiten und zu praesentieren. In diesem Rahmen koennen auch kleinere praktische Aufgaben bearbeitet werden."
Seminar Aktuelle Forschung an Batterien,"7, 9, 11, 13","Die Studierenden sind nach Absolvieren des Moduls in der Lage, zu einem gegebenen Thema rund um aktuelle Forschung an Batterien Literaturrecherchen zum Stand der Technik und zu aktuellen Forschungsgegenstaenden durchzufuehren, zusammenzustellen und zu bewerten. Weiterhin sind sie in der Lage, Vortragsfolien zielgruppenangepasst und strukturiert zu erstellen und einem groesseren Publikum in deutscher oder englischer Sprache vorzustellen. Ein weiteres Lernziel ist das Erstellen von wissenschaftlichen Texten zu dem gewaehlten Forschungsthema, ebenfalls in deutscher oder englischer Sprache. Inhalt des Seminar ist es, sich eine aktuelle Fragestellung zur Batterieforschung auszusuchen und die vorhandene Literatur dazu zusammenzufassen und zu praesentieren. Jeder Teilnehmerin erhaelt ein anderes Thema. Beispiele fuer Themen sind: - Alterungsprozesse von verschiedenen Batterietypen, z.B. Lithium-Plating oder SEI-Wachstum - Funktionsprinzip von neuen Batterietechnologien, z.B. Lithium-Luft oder Lithium-Schwefel-Batterien - Trends in der Materialforschung, z.B. Elektrolyte fuer Hochvolt-Batterien. Es werden auch informatiknahe Themen aus den Bereichen Machine Learning, Big Data und deren Anwendung auf Batteriesysteme sowie wirtschaftliche Themen rund um Batterien angeboten. Ein weiterer Schwerpunkt ist die Nachhaltigkeit von Batterietechnologien sowie Anwendungen von Batterien in der Elektromobilitaet."
"Leistungselektronik - Schaltungstechnik, Entwurf und Anwendungen","7, 9, 11, 12","Studierende, die dieses Modul waehlen, sind nach erfolgreichem Abschluss in der Lage, leistungselektronische Aufgaben in der Industrie zu loesen, dabei eigene Loesungskonzepte zu finden und im Hinblick auf Umweltvertraeglichkeit und Wirtschaftlichkeit zu bewerten. Es werden vertiefende Kenntnisse der Leistungselektronik, insbesondere der anwendungsspezifischen Schaltungstechnik sowie Simulations- und Dimensionierungsmethoden vermittelt, die fuer die Entwicklung in unterschiedlichen Industriezweigen, wie z.B. Automatisierungstechnik, Antriebstechnik, Stromversorgung, Verkehrstechnik, Medizintechnik, Energietechnik und erneuerbare Energien essentiell sind. In der Veranstaltung werden vertiefende Kenntnisse zur Auslegung (Dimensionierung, Filter, Kuehlung, Zuverlaessigkeit) und zur Schaltungstechnik (z.B. Resonanzwandler, Schaltnetzteile, mehrstufige Schaltungen) vermittelt. Des Weiteren werden neue Entwicklungen der Leistungselektronik (moderne Leistungshalbleiter, neue Schaltungen und deren Anwendungsgebiete z.B. fuer Mittelspannungsantriebe) vorgestellt. Inhalte: 1. Stromrichterentwurf - Dimensionierung der Leistungshalbleiter Anwendungsbeispiel Elektromobilitaet: Antriebsumrichter - Verlustleistungsbestimmung in leistungselektronischen Schaltungen - Aufbau von Leistungshalbleitern und Kuehlungsmethoden - Lebensdauer von Leistungshalbleitern 2. DCDC -Wandler Anwendungsbeispiel Elektromobilitaet: Batterieladegeraet und Bordnetz - ein- und mehrstufige DCDC-Wandler mit Potentialtrennung - Einsatz neuartiger Halbleiter - Magnetische Komponenten 3. Industristromrichter - Filter, Schaltungstechnik - Harmonische, Filterauslegung, Grundbegriffe der EMV - Anwendung Mittelspannungsantriebe: spezifische Umrichterschaltungen, Hochleistungsbauelemente, Multi-Level-Stromrichter   Wahlpflicht: Im gleichnamigen Praktikum sowie der uebung werden die Vorlesungsinhalte mittels selbststaendig zu bearbeitenden Simulations- und Rechenuebungen vertieft. Die VL „Halbleiter-Leistungsbauelemente beinhaltet Aufbau, Funktionsweise, statischedynamische Eigenschaften, Kenn-Grenzwerte sowie Charakterisierung und Anwendung von HL-Leistungsbauelementen: Dioden, Thyristoren, Bipolartransistoren, MOSFETs, IGBTs, GTOs, u.a."
Leistungselektronik fuer Erneuerbare Energien,"7, 9, 11, 13","Die Studierenden erlernen spezifische Kenntnisse zum Einsatz von leistungselektronischen Systemkomponenten fuer die erneuerbaren Energieerzeugung und Energieuebertragung. Sie sind nach erfolgreichem Abschluss des Moduls in der Lage, leistungselektronische Problemstellungen beim Betrieb erneuerbarer Energieerzeugungsanlagen und deren Netzintegration zu erkennen, zu analysieren und eigenstaendige, innovative Loesungsansaetze zu erarbeiten sowie diese zu bewerten.   Es werden leistungselektronische Loesungen fuer den Betrieb und die Netzintegration von Wind- und Photovoltaikanlagen und Energiespeichern vorgestellt. Der Fokus der Vorlesung liegt auf den unterschiedlichen Eigenschaften der einspeisenden erneuerbaren Energiequellen und den damit verbundenen Anforderungen an die leistungselektronischen Systemkomponenten und deren Regelung. Weiterhin werden innovative Loesungen fuer die Energieuebertragung (selbstgefuehrte HGue) behandelt. Das Seminar umfasst die selbststaendige Analyse und Bewertung neuer Loesungskonzepte im Bereich der erneuerbaren Energien mit dem Fokus auf die leistungselektronischen Komponenten in der Energieerzeugung und -uebertragung. Themen: - Windkraftanlagen: Grundlagen und Anlagenkonzepte, doppeltgespeiste Asynchrongeneratoren und Synchrongeneratoren mit Back-to-Back Umrichtern, Anbindung von Windparks - Photovoltaikanlagen: Anlagenkonzepte und Umrichter fuer verschiedene Leistungsbereiche, drei- und einphasige Wechselrichterschaltungen, neue Leistungshalbleiter fuer effiziente Wechselrichter, Systeme mit Energiespeicher - Netzanforderungen, Regelungskonzepte zur Netzintegration, Behandlung von Fehlerfaellen, Unterschiede bei der Integration in verschiedene Netze (Verbundnetz, Inselnetze) - Power Quality - HGue Konzepte "
